"species_name";"max_eicat";"max_eicat_cat";"mean_eicat";"max_eicat_DDNA";"max_eicat_cat_DDNA";"mean_eicat_DDNA"
"acacia.adunca";0;"DD/MC";0;0;"DD";0
"acacia.aneura";0;"DD/MC";0;0;"DD";0
"acacia.baileyana";3;"MR";1,5;3;"MR";3
"acacia.calcicola";0;"DD/MC";0;0;"DD";0
"acacia.cultriformis";0;"DD/MC";0;0;"DD";0
"acacia.cyclops";3;"MR";1,2;3;"MR";1,5
"acacia.dealbata";3;"MR";1,34285714285714;3;"MR";1,46875
"acacia.decurrens";3;"MR";0,833333333333333;3;"MR";2,5
"acacia.elata";1;"MN";0,5;1;"MN";1
"acacia.fimbriata";0;"DD/MC";0;0;"DD";0
"acacia.floribunda";0;"DD/MC";0;0;"DD";0
"acacia.hakeoides";0;"DD/MC";0;0;"DD";0
"acacia.implexa";0;"DD/MC";0;0;"DD";0
"acacia.longifolia";3;"MR";1,45238095238095;3;"MR";1,84848484848485
"acacia.mearnsii";3;"MR";1,45161290322581;3;"MR";1,73076923076923
"acacia.melanoxylon";3;"MR";1;3;"MR";1,11111111111111
"acacia.murrayana";0;"DD/MC";0;0;"DD";0
"acacia.neriifolia";0;"DD/MC";0;0;"DD";0
"acacia.paradoxa";0;"DD/MC";0;0;"DD";0
"acacia.pendula";0;"DD/MC";0;0;"DD";0
"acacia.piligera";0;"DD/MC";0;0;"DD";0
"acacia.podalyriifolia";0;"DD/MC";0;0;"DD";0
"acacia.provincialis";0;"DD/MC";0;0;"DD";0
"acacia.pycnantha";3;"MR";3;3;"MR";3
"acacia.ramulosa";0;"DD/MC";0;0;"DD";0
"acacia.salicina";1;"MN";0,5;1;"MN";1
"acacia.saligna";3;"MR";1,45161290322581;3;"MR";1,875
"acacia.stricta";0;"DD/MC";0;0;"DD";0
"acacia.ulicifolia";0;"DD/MC";0;0;"DD";0
"acacia.viscidula";0;"DD/MC";0;0;"DD";0
